"","artist","genres"
"1","Capital Bra","german hip hop"
"2","Ava Max",""
"3","LX",""
"4","Panic! At The Disco","emo,modern rock,pop punk"
"5","MERO","german hip hop"
"6","Sido","german hip hop"
"7","Azet","albanian hip hop,german hip hop"
"8","Nash","album rock,art rock,blues-rock,classic rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock,southern rock,traditional folk"
"9","Bonez MC","german hip hop"
"10","Dean Lewis","australian pop,pop"
"11","KitschKrieg","german hip hop"
"12","Post Malone","pop,rap"
"13","Marshmello","brostep,egyptian pop,pop,progressive electro house"
"14","Dynoro","edm"
"15","Halsey","dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
"16","RAF Camora","german hip hop"
"17","Nimo","deep swedish hip hop,swedish reggae"
"18","Ariana Grande","dance pop,pop,post-teen pop"
"19","Samra","deep german hip hop,german hip hop"
"20","Robin Schulz","dance pop,deep euro house,deep house,edm,pop,tropical house"
"21","DJ Snake","dance pop,edm,electronic trap,pop,tropical house"
"22","Luciano","canzone napoletana,classical tenor,opera,operatic pop"
"23","Lady Gaga","dance pop,pop"
"24","benny blanco","dance pop,pop,tropical house"
"25","Ellie Goulding","dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house"
"26","Rita Ora","dance pop,edm,pop,post-teen pop,r&b,tropical house"
"27","Loud Luxury","edm,pop,tropical house"
"28","Loredana","german hip hop"
"29","RIN","german hip hop"
"30","Dardan","albanian hip hop,deep german hip hop,german hip hop"
"31","XXXTENTACION","emo rap,miami hip hop"
"32","Lost Frequencies","edm,pop,tropical house"
"33","Summer Cem","german hip hop"
"34","Mark Ronson","dance pop,pop"
"35","Veysel","albanian hip hop,german hip hop"
"36","Kodak Black","miami hip hop,pop rap,rap,trap music"
"37","Alle Farben","deep euro house,tropical house"
"38","Jonas Blue","dance pop,edm,pop,tropical house"
"39","Calvin Harris","dance pop,edm,electro house,house,pop,progressive house"
"40","Capo","latin pop"
"41","Lukas Graham","danish pop"
"42","Travis Scott","pop,rap"
"43","Skylar Grey","piano rock"
"44","Ðen",NA
"45","JENNIE","k-hop,k-pop"
"46","Noo Phuoc Thinh","vietnamese pop"
"47","Tien Tien","atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music"
"48","Da LAB","vietnamese hip hop"
"49","Alec Benjamin","dance pop,pop"
"50","Maroon 5","pop"
"51","Sam Smith","pop,post-teen pop"
"52","Chi Pu","vietnamese pop"
"53","SHAUN",""
"54","Dua Lipa","dance pop,pop,post-teen pop"
"55","Imagine Dragons","modern rock,rock"
"56","My Tam","vietnamese pop"
"57","Khalid","pop"
"58","Zara Larsson","dance pop,edm,pop,post-teen pop,swedish electropop,swedish pop,tropical house"
"59","Vu.","alternative rock,art rock,classic rock,dance rock,folk rock,garage rock,indie rock,lo-fi,melancholia,new wave,permanent wave,protopunk,psychedelic rock,rock"
"60","Rhymastic","vietnamese hip hop,vietnamese pop"
"61","Uyen Linh","rock viet,vietnamese pop"
"62","Steve Aoki","dance pop,edm,electro house,pop,tropical house"
"63","CHUNG HA","k-pop,korean pop"
"64","ERIK","deep swedish hip hop,swedish hip hop"
"65","Camila Cabello","dance pop,pop,post-teen pop,r&b"
"66","Alan Walker","tropical house"
"67","Bich Phuong","vietnamese pop"
"68","Bùi Lan Huong",""
"69","Lê Hi<U+1EBF>u",NA
"70","Sia","australian dance,australian pop,dance pop,pop"
"71","Bazzi","dance pop,pop,post-teen pop"
"72","Ed Sheeran","pop"
"73","Kontra K","german hip hop"
"74","King Khalil","deep german hip hop,german hip hop"
"75","Bad Bunny","reggaeton,trap latino"
"76","David Guetta","dance pop,edm,pop"
"77","Majka","hungarian hip hop,hungarian pop"
"78","Clean Bandit","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"79","Follow The Flow","hungarian hip hop"
"80","Misshmusic","hungarian hip hop"
"81","5 Seconds of Summer","boy band,dance pop,pop,post-teen pop"
"82","Queen","glam rock,rock"
"83","USNK",""
"84","Meek Mill","pop,pop rap,rap,trap music"
"85","Billie Eilish","electropop,pop"
"86","Kygo","edm,pop,tropical house"
"87","Future","atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music"
