"","playlist_name","playlist_img","track_name","track_uri","artist_name","album_name","album_img","danceability.x","energy.x","key.x","loudness.x","mode.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","duration_ms.x","time_signature.x","key_mode.x","danceability.y","energy.y","key.y","loudness.y","mode.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","duration_ms.y","time_signature.y","key_mode.y","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"1","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Baller los","1IPRghUN3LFPNbCTsfBJx9","MERO","Baller los","https://i.scdn.co/image/77369d887b97aed38a5e8f07525b59623bb78bc3",0.642,0.598,"A#",-8.716,"minor",0.283,0.505,0,0.129,0.508,170.185,160357,4,"A# minor",0.642,0.598,"A#",-8.716,"minor",0.283,0.505,0,0.129,0.508,170.185,160357,4,"A# minor",0.642,0.598,"A#",-8.716,"minor",0.283,0.505,0,0.129,0.508,170.185,160357,4,"A# minor"
"2","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","All I Want for Christmas Is You","0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","Merry Christmas","https://i.scdn.co/image/e06f3ddadf59ee24504fc02bfe205945807a2437",0.335,0.625,"G",-7.462,"major",0.0386,0.164,0,0.0708,0.346,150.277,241107,4,"G major",0.335,0.625,"G",-7.462,"major",0.0386,0.164,0,0.0708,0.346,150.277,241107,4,"G major",0.335,0.625,"G",-7.462,"major",0.0386,0.164,0,0.0708,0.346,150.277,241107,4,"G major"
"3","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Sweet but Psycho","25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","https://i.scdn.co/image/9f92262af6d017302030d673f2826260b777edaf",0.719,0.704,"C#",-4.724,"major",0.0476,0.0691,0,0.166,0.628,133.002,187436,4,"C# major",0.719,0.704,"C#",-4.724,"major",0.0476,0.0691,0,0.166,0.628,133.002,187436,4,"C# major",0.719,0.704,"C#",-4.724,"major",0.0476,0.0691,0,0.166,0.628,133.002,187436,4,"C# major"
"4","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Last Christmas","2FRnf9qhLbvw8fu4IBXx78","Wham!","LAST CHRISTMAS","https://i.scdn.co/image/e106efaf6cfa29007b6f111c4137e3b56219946c",0.735,0.478,"D",-12.472,"major",0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4,"D major",0.735,0.478,"D",-12.472,"major",0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4,"D major",0.735,0.478,"D",-12.472,"major",0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4,"D major"
"5","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Perfekt (feat. Sofiane)","38KR9aB0bPkjM4gKhKr7tr","RAF Camora","Perfekt (feat. Sofiane)","https://i.scdn.co/image/79f235c7e2807ba8b01607de6d35b5ca9458419d",0.604,0.765,"B",-6.75,"minor",0.434,0.639,0,0.0938,0.773,118.257,213945,4,"B minor",0.604,0.765,"B",-6.75,"minor",0.434,0.639,0,0.0938,0.773,118.257,213945,4,"B minor",0.604,0.765,"B",-6.75,"minor",0.434,0.639,0,0.0938,0.773,118.257,213945,4,"B minor"
"6","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Feuer","3yuMTMJQ2gkvLhMVZLrcRV","Capital Bra","Feuer","https://i.scdn.co/image/77eb7c17cafe55033f371af843200517b2878eab",0.68,0.826,"F",-3.93,"minor",0.0907,0.0881,0,0.0812,0.398,144.966,165717,4,"F minor",0.68,0.826,"F",-3.93,"minor",0.0907,0.0881,0,0.0812,0.398,144.966,165717,4,"F minor",0.68,0.826,"F",-3.93,"minor",0.0907,0.0881,0,0.0812,0.398,144.966,165717,4,"F minor"
"7","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Tausend Tattoos","2PAYSgrVOBz8RJqp9B7QLu","Sido","Kronjuwelen","https://i.scdn.co/image/b88f9671c21028fb4087f137a4f2cffab303fc28",0.675,0.803,"F#",-4.377,"major",0.209,0.146,0,0.199,0.342,92.018,205280,4,"F# major",0.675,0.803,"F#",-4.377,"major",0.209,0.146,0,0.199,0.342,92.018,205280,4,"F# major",0.675,0.803,"F#",-4.377,"major",0.209,0.146,0,0.199,0.342,92.018,205280,4,"F# major"
"8","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","High Hopes","1rqqCSm0Qe4I9rUvWncaom","Panic! At The Disco","Pray For The Wicked","https://i.scdn.co/image/5a0c73915586db4a6acf0a92eb7c503877f1c9a4",0.579,0.904,"F",-2.729,"major",0.0618,0.193,0,0.064,0.681,82.014,190947,4,"F major",0.579,0.904,"F",-2.729,"major",0.0618,0.193,0,0.064,0.681,82.014,190947,4,"F major",0.579,0.904,"F",-2.729,"major",0.0618,0.193,0,0.064,0.681,82.014,190947,4,"F major"
"9","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Cataleya","3MrTi2XjvQCZm8V1P1ryuR","Samra","Cataleya","https://i.scdn.co/image/2d8b3bae35954e8b2b5c6e88d0edb84094426d00",0.708,0.794,"C#",-4.409,"minor",0.306,0.0763,0,0.168,0.69,90.125,171681,4,"C# minor",0.708,0.794,"C#",-4.409,"minor",0.306,0.0763,0,0.168,0.69,90.125,171681,4,"C# minor",0.708,0.794,"C#",-4.409,"minor",0.306,0.0763,0,0.168,0.69,90.125,171681,4,"C# minor"
"10","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","500 PS","4UOXo3xWnxYdTf3sFyRaUG","Bonez MC","Palmen aus Plastik 2","https://i.scdn.co/image/04e326e806dc1c48c81f4a4907559d6c052f925f",0.805,0.924,"G",-5.883,"minor",0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4,"G minor",0.805,0.924,"G",-5.883,"minor",0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4,"G minor",0.805,0.924,"G",-5.883,"minor",0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4,"G minor"
"11","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","4Nip6oiJU24LqcUEi7u19S","KitschKrieg","Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","https://i.scdn.co/image/6d3d84fed0b082d66664e0eecc1b64897d16985e",0.826,0.76,"C#",-6.591,"major",0.187,0.146,0,0.155,0.875,88.999,195291,4,"C# major",0.826,0.76,"C#",-6.591,"major",0.187,0.146,0,0.155,0.875,88.999,195291,4,"C# major",0.826,0.76,"C#",-6.591,"major",0.187,0.146,0,0.155,0.875,88.999,195291,4,"C# major"
"12","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","thank u, next","2rPE9A1vEgShuZxxzR2tZH","Ariana Grande","thank u, next","https://i.scdn.co/image/77eb7c17cafe550337bbb4711235a0128db66a66",0.724,0.647,"C#",-5.642,"major",0.0658,0.28,0,0.102,0.435,106.96,207333,4,"C# major",0.724,0.647,"C#",-5.642,"major",0.0658,0.28,0,0.102,0.435,106.96,207333,4,"C# major",0.724,0.647,"C#",-5.642,"major",0.0658,0.28,0,0.102,0.435,106.96,207333,4,"C# major"
"13","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Driving Home for Christmas","3Z3QhZAZpqwZa1phsbQ3JZ","Chris Rea","The Works","https://i.scdn.co/image/4845c1247ad7d1c28e34ec6a4b63d1431426c49b",0.497,0.661,"A",-9.047,"major",0.0361,0.328,0.000317,0.211,0.894,180.225,240213,4,"A major",0.497,0.661,"A",-9.047,"major",0.0361,0.328,0.000317,0.211,0.894,180.225,240213,4,"A major",0.497,0.661,"A",-9.047,"major",0.0361,0.328,0.000317,0.211,0.894,180.225,240213,4,"A major"
"14","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Be Alright","3EPXxR3ImUwfayaurPi3cm","Dean Lewis","Be Alright","https://i.scdn.co/image/294631ce16704eb6e6d63c8201bb07f43397ce69",0.553,0.586,"B",-6.319,"major",0.0362,0.697,0,0.0813,0.443,126.684,196373,4,"B major",0.553,0.586,"B",-6.319,"major",0.0362,0.697,0,0.0813,0.443,126.684,196373,4,"B major",0.553,0.586,"B",-6.319,"major",0.0362,0.697,0,0.0813,0.443,126.684,196373,4,"B major"
"15","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Merry Christmas Everyone - Remastered","2ISl1zekPsc26sUQpVt8UB","Shakin' Stevens","Merry Christmas Everyone","https://i.scdn.co/image/ce2ba9fc2a054656926a67823da05905321b6b87",0.541,0.909,"A",-3.101,"major",0.0358,0.128,0,0.128,0.962,203.862,220160,4,"A major",0.541,0.909,"A",-3.101,"major",0.0358,0.128,0,0.128,0.962,203.862,220160,4,"A major",0.541,0.909,"A",-3.101,"major",0.0358,0.128,0,0.128,0.962,203.862,220160,4,"A major"
"16","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Kokain","4Bj3usjRTckEJARO0dLbDf","Bonez MC","Palmen aus Plastik 2","https://i.scdn.co/image/04e326e806dc1c48c81f4a4907559d6c052f925f",0.615,0.677,"F",-7.906,"minor",0.363,0.231,0,0.543,0.608,170.117,209232,4,"F minor",0.615,0.677,"F",-7.906,"minor",0.363,0.231,0,0.543,0.608,170.117,209232,4,"F minor",0.615,0.677,"F",-7.906,"minor",0.363,0.231,0,0.543,0.608,170.117,209232,4,"F minor"
"17","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Santa Tell Me","0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","https://i.scdn.co/image/ca80da7a2271f0806a977c7c1f6cfa6aa5d7e92b",0.506,0.628,"G",-7.316,"major",0.173,0.0545,0,0.301,0.556,191.708,204093,4,"G major",0.506,0.628,"G",-7.316,"major",0.173,0.0545,0,0.301,0.556,191.708,204093,4,"G major",0.506,0.628,"G",-7.316,"major",0.173,0.0545,0,0.301,0.556,191.708,204093,4,"G major"
"18","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","MILLIONDOLLAR$MILE","4nBcGqwztDJ29cyHVJtXsB","Loredana","MILLIONDOLLAR$MILE","https://i.scdn.co/image/77eb7c17cafe550327280605edc2b4da694884c3",0.796,0.637,"A#",-6.541,"minor",0.188,0.116,2.04e-05,0.0982,0.401,144.045,174213,4,"A# minor",0.796,0.637,"A#",-6.541,"minor",0.188,0.116,2.04e-05,0.0982,0.401,144.045,174213,4,"A# minor",0.796,0.637,"A#",-6.541,"minor",0.188,0.116,2.04e-05,0.0982,0.401,144.045,174213,4,"A# minor"
"19","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","7Lbxvt42JsNSKVCaN63qhD","Paul McCartney","McCartney II (Special Edition)","https://i.scdn.co/image/a59feeb9c675194eb86e2816c494f4082ccd53d4",0.774,0.511,"B",-8.914,"major",0.0319,0.322,0,0.0672,0.771,94.736,227653,4,"B major",0.774,0.511,"B",-8.914,"major",0.0319,0.322,0,0.0672,0.771,94.736,227653,4,"B major",0.774,0.511,"B",-8.914,"major",0.0319,0.322,0,0.0672,0.771,94.736,227653,4,"B major"
