"","playlist_name","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_added_at","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"1","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Benzema","7KPGeiXWDsGEvFK62wzU8E","Capital Bra","Benzema","https://i.scdn.co/image/5d6cf1177bc44dab55b28b48aafd85b90b22d247",1970-01-01,0.783,0.692,"A#",-6.156,"minor",0.329,0.485,0,0.12,0.26,100.082,159152,4,"A# minor"
"2","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Sweet but Psycho","25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","https://i.scdn.co/image/9f92262af6d017302030d673f2826260b777edaf",1970-01-01,0.719,0.704,"C#",-4.724,"major",0.0476,0.0691,0,0.166,0.628,133.002,187436,4,"C# major"
"3","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","HaifischNikez Allstars","0kLA41xkWzzYzMIEGFuDkP","LX","HaifischNikez Allstars","https://i.scdn.co/image/2ba01b8ceaa621699435c70b2595f4f2bb878b2b",1970-01-01,0.764,0.744,"B",-5.529,"minor",0.448,0.162,0,0.122,0.507,87.538,182925,4,"B minor"
"4","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","High Hopes","1rqqCSm0Qe4I9rUvWncaom","Panic! At The Disco","Pray For The Wicked","https://i.scdn.co/image/5a0c73915586db4a6acf0a92eb7c503877f1c9a4",1970-01-01,0.579,0.904,"F",-2.729,"major",0.0618,0.193,0,0.064,0.681,82.014,190947,4,"F major"
"5","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Baller los","1IPRghUN3LFPNbCTsfBJx9","MERO","Baller los","https://i.scdn.co/image/77369d887b97aed38a5e8f07525b59623bb78bc3",1970-01-01,0.642,0.598,"A#",-8.716,"minor",0.283,0.505,0,0.129,0.508,170.185,160357,4,"A# minor"
"6","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Tausend Tattoos","2PAYSgrVOBz8RJqp9B7QLu","Sido","Kronjuwelen","https://i.scdn.co/image/b88f9671c21028fb4087f137a4f2cffab303fc28",1970-01-01,0.675,0.803,"F#",-4.377,"major",0.209,0.146,0,0.199,0.342,92.018,205280,4,"F# major"
"7","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Lelele","31Zs71Yb7YoPlFx2p1uKRX","Azet","Lelele","https://i.scdn.co/image/2e2be8fab2dd5954b0fe475823c5f524d8178ffe",1970-01-01,0.821,0.689,"C#",-5.02,"major",0.229,0.0543,0.000137,0.0974,0.493,125.474,190341,5,"C# major"
"8","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Crack, Koks, Piece Unternehmen","7Kl0tRgiMu5USwbZM5274a","Nash","Crack, Koks, Piece Unternehmen","https://i.scdn.co/image/3f9318ecbe6e9a439241ec55e5c9a587b232f803",1970-01-01,0.811,0.678,"F#",-8.848,"minor",0.0716,0.265,7.4e-05,0.549,0.299,99.983,177600,4,"F# minor"
"9","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","500 PS","4UOXo3xWnxYdTf3sFyRaUG","Bonez MC","Palmen aus Plastik 2","https://i.scdn.co/image/04e326e806dc1c48c81f4a4907559d6c052f925f",1970-01-01,0.805,0.924,"G",-5.883,"minor",0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4,"G minor"
"10","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Be Alright","3EPXxR3ImUwfayaurPi3cm","Dean Lewis","Be Alright","https://i.scdn.co/image/294631ce16704eb6e6d63c8201bb07f43397ce69",1970-01-01,0.553,0.586,"B",-6.319,"major",0.0362,0.697,0,0.0813,0.443,126.684,196373,4,"B major"
"11","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","4Nip6oiJU24LqcUEi7u19S","KitschKrieg","Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","https://i.scdn.co/image/6d3d84fed0b082d66664e0eecc1b64897d16985e",1970-01-01,0.826,0.76,"C#",-6.591,"major",0.187,0.146,0,0.155,0.875,88.999,195291,4,"C# major"
"12","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Wow.","6MWtB6iiXyIwun0YzU6DFP","Post Malone","Wow.","https://i.scdn.co/image/4a09059a2a756967588647bbcb5fd5f6fd8dd434",1970-01-01,0.833,0.539,"B",-7.399,"minor",0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4,"B minor"
"13","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Feuer","3yuMTMJQ2gkvLhMVZLrcRV","Capital Bra","Feuer","https://i.scdn.co/image/77eb7c17cafe55033f371af843200517b2878eab",1970-01-01,0.68,0.826,"F",-3.93,"minor",0.0907,0.0881,0,0.0812,0.398,144.966,165717,4,"F minor"
"14","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Happier","2dpaYNEQHiRxtZbfNsse99","Marshmello","Happier","https://i.scdn.co/image/13e7cea6399eaaf6cc7ead76e9582f8a9e37dbff",1970-01-01,0.687,0.792,"F",-2.749,"major",0.0452,0.191,0,0.167,0.671,100.015,214290,4,"F major"
"15","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","In My Mind","0E9ZjEAyAwOXZ7wJC0PD33","Dynoro","In My Mind","https://i.scdn.co/image/a0b8ff14e272c79221ff1924f109eee9e01432a4",1970-01-01,0.694,0.77,"F#",-5.335,"major",0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,4,"F# major"
"16","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Without Me","5p7ujcrUXASCNwRaWNHR1C","Halsey","Without Me","https://i.scdn.co/image/dd916d01780a9591c8a02944fa06aaf30ca3e374",1970-01-01,0.752,0.488,"F#",-7.05,"major",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"F# major"
"17","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Perfekt (feat. Sofiane)","38KR9aB0bPkjM4gKhKr7tr","RAF Camora","Perfekt (feat. Sofiane)","https://i.scdn.co/image/79f235c7e2807ba8b01607de6d35b5ca9458419d",1970-01-01,0.604,0.765,"B",-6.75,"minor",0.434,0.639,0,0.0938,0.773,118.257,213945,4,"B minor"
"18","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Zoey","0dGSOCj6hdV5Nr0V8FjONc","Nimo","Zoey","https://i.scdn.co/image/77eb7c17cafe5503d67de580fb6aabe7f592f081",1970-01-01,0.836,0.718,"D",-5.441,"minor",0.153,0.412,0,0.152,0.481,109.975,231699,4,"D minor"
"19","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","thank u, next","2rPE9A1vEgShuZxxzR2tZH","Ariana Grande","thank u, next","https://i.scdn.co/image/77eb7c17cafe550337bbb4711235a0128db66a66",1970-01-01,0.724,0.647,"C#",-5.642,"major",0.0658,0.28,0,0.102,0.435,106.96,207333,4,"C# major"
"20","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Cataleya","3MrTi2XjvQCZm8V1P1ryuR","Samra","Cataleya","https://i.scdn.co/image/2d8b3bae35954e8b2b5c6e88d0edb84094426d00",1970-01-01,0.708,0.794,"C#",-4.409,"minor",0.306,0.0763,0,0.168,0.69,90.125,171681,4,"C# minor"
"21","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Kokain","4Bj3usjRTckEJARO0dLbDf","Bonez MC","Palmen aus Plastik 2","https://i.scdn.co/image/04e326e806dc1c48c81f4a4907559d6c052f925f",1970-01-01,0.615,0.677,"F",-7.906,"minor",0.363,0.231,0,0.543,0.608,170.117,209232,4,"F minor"
"22","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Speechless (feat. Erika Sirola)","1rCcsYnmqbMYdkG7kS9GC5","Robin Schulz","Speechless (feat. Erika Sirola)","https://i.scdn.co/image/1942b429b5906f1453d6fb995dc085538b52457d",1970-01-01,0.574,0.728,"C#",-4.777,"major",0.062,0.0161,1.42e-06,0.0851,0.266,125.047,214942,4,"C# major"
"23","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Sunflower - Spider-Man: Into the Spider-Verse","3KkXRkHbMCARz0aVfEt68P","Post Malone","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89",1970-01-01,0.76,0.479,"D",-5.574,"major",0.0466,0.556,0,0.0703,0.913,89.911,158040,4,"D major"
"24","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM","DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","https://i.scdn.co/image/cca02c139eb4270d5e396086329c97c782c7b478",1970-01-01,0.841,0.798,"C#",-4.206,"minor",0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"C# minor"
"25","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Meer","1LcvTvRfWrQjrF6aymfugd","Luciano","L.O.C.O.","https://i.scdn.co/image/cbe12d82ea095e04b87278b2f6816473f6e7b893",1970-01-01,0.728,0.638,"G#",-6.41,"minor",0.252,0.24,0.000501,0.106,0.598,160.036,177253,4,"G# minor"
"26","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Ich liebe es (feat. XATAR & SAMY)","71XGMPKmWtVxO7bGcGZhbn","Capital Bra","Allein","https://i.scdn.co/image/e78dc7362390f2efb201b3b5b2180aed4a1eb48e",1970-01-01,0.549,0.735,"F#",-5.226,"minor",0.299,0.325,0,0.263,0.495,97.538,167506,4,"F# minor"
